Detection timestamp,AprilTag Detection [Hz],Window size timestamp,window size
,,1690252008.84788,945897
,,1690252009.23564,945897
,,1690252009.24425,943074
,,1690252009.25701,943074
,,1690252009.26684,940255
,,1690252009.27703,940255
,,1690252009.2898,940255
,,1690252009.30033,937440
,,1690252009.31255,937440
,,1690252009.32451,937440
,,1690252009.33211,934629
,,1690252009.34116,934629
,,1690252009.35266,931822
,,1690252009.73907,931822
,,1690252009.74724,929019
,,1690252009.75483,929019
,,1690252009.7634,926220
,,1690252009.77291,926220
,,1690252009.78286,926220
,,1690252009.79315,923425
,,1690252009.80307,923425
,,1690252009.81426,920634
,,1690252009.82567,920634
,,1690252009.8347,920634
,,1690252009.84781,917847
,,1690252010.23298,917847
,,1690252010.24172,915064
,,1690252010.25068,915064
,,1690252010.26069,912285
,,1690252010.26999,912285
,,1690252010.27946,912285
,,1690252010.29057,909510
,,1690252010.30066,909510
,,1690252010.31053,906739
,,1690252010.32034,906739
,,1690252010.33523,906739
,,1690252010.34382,903972
,,1690252010.73396,903972
,,1690252010.7413,901209
,,1690252010.74935,901209
,,1690252010.75906,898450
,,1690252010.76953,898450
,,1690252010.77878,895695
,,1690252010.78801,895695
,,1690252010.79803,895695
,,1690252010.80681,892944
,,1690252010.81721,892944
,,1690252010.82847,892944
,,1690252010.83953,890197
,,1690252011.22903,890197
,,1690252011.23919,887454
,,1690252011.24774,887454
,,1690252011.25907,884715
,,1690252011.27012,884715
,,1690252011.27998,881980
,,1690252011.29079,881980
,,1690252011.3002,881980
,,1690252011.3118,879249
,,1690252011.32118,879249
,,1690252011.33133,879249
,,1690252011.34089,876522
,,1690252011.73238,876522
,,1690252011.73917,873799
,,1690252011.74927,873799
,,1690252011.7571,871080
,,1690252011.76718,871080
,,1690252011.77596,868365
,,1690252011.78588,868365
,,1690252011.79493,868365
,,1690252011.8046,865654
,,1690252011.81492,865654
,,1690252011.82366,865654
,,1690252011.83374,862947
,,1690252012.22758,860244
,,1690252012.23583,860244
,,1690252012.24762,860244
,,1690252012.25536,857545
,,1690252012.26657,857545
,,1690252012.27503,854850
,,1690252012.28695,854850
,,1690252012.29753,854850
,,1690252012.30819,852159
,,1690252012.31838,852159
,,1690252012.32642,849472
,,1690252012.33578,849472
,,1690252012.72631,846789
,,1690252012.7358,846789
,,1690252012.74162,846789
,,1690252012.75082,844110
,,1690252012.76119,844110
,,1690252012.77188,841435
,,1690252012.77995,841435
,,1690252012.79026,838764
,,1690252012.80047,838764
,,1690252012.81082,838764
,,1690252012.81954,836097
,,1690252012.82932,836097
,,1690252013.22377,833434
,,1690252013.23475,833434
,,1690252013.24302,833434
,,1690252013.25114,830775
,,1690252013.26156,830775
,,1690252013.27024,828120
,,1690252013.27981,828120
,,1690252013.28919,825469
,,1690252013.29913,825469
,,1690252013.31073,825469
,,1690252013.32052,822822
,,1690252013.33198,822822
,,1690252013.3406,822822
,,1690252013.72223,820179
,,1690252013.73257,817540
,,1690252013.73939,817540
,,1690252013.74608,817540
,,1690252013.75626,814905
,,1690252013.76671,814905
,,1690252013.77789,812274
,,1690252013.78707,812274
,,1690252013.79467,812274
,,1690252013.81572,809647
,,1690252013.82404,809647
,,1690252013.835,809647
,,1690252014.21731,807024
,,1690252014.2274,804405
,,1690252014.23645,804405
,,1690252014.24753,804405
,,1690252014.25689,801790
,,1690252014.26468,801790
,,1690252014.27432,799179
,,1690252014.28522,799179
,,1690252014.29424,799179
,,1690252014.30485,796572
,,1690252014.31735,796572
,,1690252014.32797,793969
,,1690252014.33639,793969
,,1690252014.72089,791370
,,1690252014.72812,791370
,,1690252014.73671,788775
,,1690252014.7451,788775
,,1690252014.7583,788775
,,1690252014.76711,786184
,,1690252014.77686,786184
,,1690252014.78418,783597
,,1690252014.79458,783597
,,1690252014.80423,783597
,,1690252014.81295,781014
,,1690252014.82354,781014
,,1690252015.21493,778435
,,1690252015.22825,778435
,,1690252015.23944,778435
,,1690252015.24681,775860
,,1690252015.2558,775860
,,1690252015.26442,773289
,,1690252015.27415,773289
,,1690252015.28429,770722
,,1690252015.29785,770722
,,1690252015.30743,770722
,,1690252015.31539,768159
,,1690252015.32466,768159
,,1690252015.33583,768159
,,1690252015.71835,765600
,,1690252015.72652,763045
,,1690252015.73617,763045
,,1690252015.74528,763045
,,1690252015.75437,760494
,,1690252015.76387,760494
,,1690252015.77424,757947
,,1690252015.78348,757947
,,1690252015.79233,755404
,,1690252015.80137,755404
,,1690252015.81102,755404
,,1690252015.82183,755404
,,1690252016.21367,752865
,,1690252016.22153,750330
,,1690252016.2311,750330
,,1690252016.24103,750330
,,1690252016.25043,747799
,,1690252016.25957,747799
,,1690252016.26985,745272
,,1690252016.28117,745272
,,1690252016.29058,745272
,,1690252016.29889,742749
,,1690252016.31018,742749
,,1690252016.32108,740230
,,1690252016.70873,740230
,,1690252016.71734,737715
,,1690252016.7251,737715
,,1690252016.73329,737715
,,1690252016.74306,735204
,,1690252016.75243,735204
,,1690252016.76131,732697
,,1690252016.77287,732697
,,1690252016.78444,730194
,,1690252016.79378,730194
,,1690252016.8035,730194
,,1690252016.81447,727695
,,1690252017.20394,727695
,,1690252017.21473,725200
,,1690252017.22406,725200
,,1690252017.23274,725200
,,1690252017.2433,722709
,,1690252017.25333,722709
,,1690252017.26164,720222
,,1690252017.27112,720222
,,1690252017.28122,720222
,,1690252017.28982,717739
,,1690252017.29934,717739
,,1690252017.30903,715260
,,1690252017.70181,715260
,,1690252017.71142,712785
,,1690252017.71959,712785
,,1690252017.72901,712785
,,1690252017.74115,710314
,,1690252017.75035,710314
,,1690252017.75774,707847
,,1690252017.76706,707847
,,1690252017.77775,705384
,,1690252017.78685,705384
,,1690252017.7975,705384
,,1690252017.8057,702925
,,1690252018.19829,702925
,,1690252018.20707,700470
,,1690252018.21483,700470
,,1690252018.22378,698019
,,1690252018.23384,698019
,,1690252018.2432,698019
,,1690252018.25297,695572
,,1690252018.26301,695572
,,1690252018.27443,693129
,,1690252018.28345,693129
,,1690252018.29471,693129
,,1690252018.30402,690690
,,1690252018.69457,690690
,,1690252018.70473,688255
,,1690252018.71432,688255
,,1690252018.72024,685824
,,1690252018.72967,685824
,,1690252018.74309,685824
,,1690252018.75012,683397
,,1690252018.76234,683397
,,1690252018.77075,680974
,,1690252018.78043,680974
,,1690252018.7911,680974
,,1690252018.8,678555
,,1690252019.19399,678555
,,1690252019.20501,676140
,,1690252019.21466,676140
,,1690252019.22624,673729
,,1690252019.23729,673729
,,1690252019.24734,673729
,,1690252019.25657,671322
,,1690252019.26648,671322
,,1690252019.27713,668919
,,1690252019.28856,668919
,,1690252019.29642,668919
,,1690252019.30657,666520
,,1690252019.69398,666520
,,1690252019.70292,664125
,,1690252019.71361,664125
,,1690252019.72192,661734
,,1690252019.73012,661734
,,1690252019.7398,661734
,,1690252019.74997,659347
,,1690252019.759,659347
,,1690252019.76802,656964
,,1690252019.78294,656964
,,1690252019.79108,656964
,,1690252019.80157,654585
,,1690252020.19244,654585
,,1690252020.21301,652210
,,1690252020.22224,652210
,,1690252020.23268,649839
,,1690252020.24151,649839
,,1690252020.24824,647472
,,1690252020.25714,647472
,,1690252020.27215,647472
,,1690252020.2828,645109
,,1690252020.29161,645109
,,1690252020.69324,642750
,,1690252020.697,642750
,,1690252020.7083,642750
,,1690252020.71979,640395
,,1690252020.72794,640395
,,1690252020.74171,638044
,,1690252020.75385,638044
,,1690252020.76224,638044
,,1690252020.77102,635697
,,1690252020.78,635697
,,1690252020.78857,633354
,,1690252020.79908,633354
,,1690252021.18869,631015
,,1690252021.19559,631015
,,1690252021.20818,628680
,,1690252021.21478,628680
,,1690252021.2394,628680
,,1690252021.24308,626349
,,1690252021.25259,626349
,,1690252021.2962,626349
,,1690252021.68563,624022
,,1690252021.69733,624022
,,1690252021.70539,621699
,,1690252021.71469,621699
,,1690252021.72352,619380
,,1690252021.73396,619380
,,1690252021.74475,619380
,,1690252021.7526,617065
,,1690252021.76263,617065
,,1690252021.77742,614754
,,1690252021.78552,614754
,,1690252021.79554,612447
,,1690252021.80502,612447
,,1690252022.17951,612447
,,1690252022.18712,610144
,,1690252022.19581,610144
,,1690252022.20379,607845
,,1690252022.21289,607845
,,1690252022.22177,605550
,,1690252022.23062,605550
,,1690252022.23965,605550
,,1690252022.24905,603259
,,1690252022.25821,603259
,,1690252022.26743,600972
,,1690252022.27655,600972
,,1690252022.67616,598689
,,1690252022.68253,598689
,,1690252022.6907,598689
